Country,Region,Population,Infant_Mortality,GDP_per_capita
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,"163,07",700
Albania ,EASTERN EUROPE                     ,3581655,"21,52",4500
Algeria ,NORTHERN AFRICA                    ,32930091,31,6000
American Samoa ,OCEANIA                            ,57794,"9,27",8000
Andorra ,WESTERN EUROPE                     ,71201,"4,05",19000
Angola ,SUB-SAHARAN AFRICA                 ,12127071,"191,19",1900
Anguilla ,LATIN AMER. & CARIB    ,13477,"21,03",8600
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,"19,46",11000
Argentina ,LATIN AMER. & CARIB    ,39921833,"15,18",11200
Armenia ,C.W. OF IND. STATES ,2976372,"23,28",3500
Aruba ,LATIN AMER. & CARIB    ,71891,"5,89",28000
Australia ,OCEANIA                            ,20264082,"4,69",29000
Austria ,WESTERN EUROPE                     ,8192880,"4,66",30000
Azerbaijan ,C.W. OF IND. STATES ,7961619,"81,74",3400
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,"25,21",16700
Bahrain ,NEAR EAST                          ,698585,"17,27",16900
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,"62,6",1900
Barbados ,LATIN AMER. & CARIB    ,279912,"12,5",15700
Belarus ,C.W. OF IND. STATES ,10293011,"13,37",6100
Belgium ,WESTERN EUROPE                     ,10379067,"4,68",29100
Belize ,LATIN AMER. & CARIB    ,287730,"25,69",4900
Benin ,SUB-SAHARAN AFRICA                 ,7862944,85,1100
Bermuda ,NORTHERN AMERICA                   ,65773,"8,53",36000
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,"100,44",1300
Bolivia ,LATIN AMER. & CARIB    ,8989046,"53,11",2400
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,"21,05",6100
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,"54,58",9000
Brazil ,LATIN AMER. & CARIB    ,188078227,"29,61",7600
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,"18,05",16000
Brunei ,ASIA (EX. NEAR EAST)         ,379444,"12,61",18600
Bulgaria ,EASTERN EUROPE                     ,7385367,"20,55",7600
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,"97,57",1100
Burma ,ASIA (EX. NEAR EAST)         ,47382633,"67,24",1800
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,"69,29",600
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,"71,48",1900
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,"68,26",1800
Canada ,NORTHERN AMERICA                   ,33098932,"4,75",29800
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,"47,77",1400
Cayman Islands ,LATIN AMER. & CARIB    ,45436,"8,19",35000
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,91,1100
Chad ,SUB-SAHARAN AFRICA                 ,9944201,"93,82",1200
Chile ,LATIN AMER. & CARIB    ,16134219,"8,8",9900
China ,ASIA (EX. NEAR EAST)         ,1313973713,"24,18",5000
Colombia ,LATIN AMER. & CARIB    ,43593035,"20,97",6300
Comoros ,SUB-SAHARAN AFRICA                 ,690948,"74,93",700
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,"94,69",700
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,"93,86",700
Cook Islands ,OCEANIA                            ,21388,,5000
Costa Rica ,LATIN AMER. & CARIB    ,4075261,"9,95",9100
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,"90,83",1400
Croatia ,EASTERN EUROPE                     ,4494749,"6,84",10600
Cuba ,LATIN AMER. & CARIB    ,11382820,"6,33",2900
Cyprus ,NEAR EAST                          ,784301,"7,18",19200
Czech Republic ,EASTERN EUROPE                     ,10235455,"3,93",15700
Denmark ,WESTERN EUROPE                     ,5450661,"4,56",31100
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,"104,13",1300
Dominica ,LATIN AMER. & CARIB    ,68910,"14,15",5400
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,"32,38",6000
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,"47,41",500
